model,split,threshold,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,cost,roc_auc,pr_auc
XGBoost_Weighted_Physics,test_cost_optimized,0.19,0.909,0.26639344262295084,0.9558823529411765,0.4166666666666667,0.931616124710754,0.4780006698204173,1753,179,3,65,3290,0.978131469979296,0.8371740667416439
XGBoost_AsymmetricLoss_Physics,test_cost_optimized,0.13,0.9205,0.2922374429223744,0.9411764705882353,0.445993031358885,0.9304743636585069,0.4996677142123409,1777,155,4,64,3550,0.9798821702594082,0.8623136864016223
XGBoost_Physics,test_cost_optimized,0.02,0.9175,0.28444444444444444,0.9411764705882353,0.43686006825938567,0.928921568627451,0.49201173457926733,1771,161,4,64,3610,0.9795548654244307,0.8811950780087398
OOF_Stacking_AnomalyFeature,test_cost_optimized,0.21000000000000002,0.881,0.21666666666666667,0.9558823529411765,0.3532608695652174,0.9171233710875655,0.4234161790382619,1697,235,3,65,3850,0.9682514310071856,0.6965445694876558
OOF_Stacking_Physics,test_cost_optimized,0.3,0.9285,0.31343283582089554,0.9264705882352942,0.4684014869888476,0.9275210084033614,0.5153851056420271,1794,138,5,63,3880,0.9777965534039703,0.8960571254022748
RandomForest_Balanced_Physics,test_cost_optimized,0.25,0.9245,0.3014354066985646,0.9264705882352942,0.4548736462093863,0.9254506150286201,0.5040994607760823,1786,146,5,63,3960,0.9804454390451833,0.8705380531094077
DecisionTree_Balanced,test_cost_optimized,0.09,0.924,0.3,0.9264705882352942,0.45323741007194246,0.9251918158567776,0.5027322510453488,1785,147,5,63,3970,0.9516159724759469,0.5739242963663748
RandomForest_Balanced,test_cost_optimized,0.19,0.873,0.20569620253164558,0.9558823529411765,0.3385416666666667,0.9129825843380831,0.41039793400319985,1681,251,3,65,4010,0.9686396297649494,0.596446152247372
LightGBM_Weighted,test_cost_optimized,0.14,0.8885,0.22614840989399293,0.9411764705882353,0.3646723646723647,0.9139112166605773,0.43044418314303245,1713,219,4,64,4190,0.9647043600048715,0.7412058105108181
OOF_Stacking,test_cost_optimized,0.24000000000000002,0.8865,0.2229965156794425,0.9411764705882353,0.36056338028169016,0.9128760199732067,0.42686253854453443,1709,223,4,64,4230,0.9712580684447691,0.6749493240300738
OOF_Stacking_Physics_AnomalyFeature,test_cost_optimized,0.35000000000000003,0.9335,0.328042328042328,0.9117647058823529,0.48249027237354086,0.9230148581171599,0.5241474867937801,1805,127,6,62,4270,0.977035379369139,0.8834063333141526
XGBoost,test_cost_optimized,0.02,0.8785,0.21122112211221122,0.9411764705882353,0.3450134770889488,0.9087352332237243,0.4132071743737395,1693,239,4,64,4390,0.9684721714772866,0.7820369223669611
XGBoost_AsymmetricLoss,test_cost_optimized,0.2,0.9005,0.245136186770428,0.9264705882352942,0.38769230769230767,0.9130282547801729,0.44735523110226655,1738,194,5,63,4440,0.9680915844598709,0.7245529166928294
LightGBM_Physics,test_cost_optimized,0.03,0.9465,0.37888198757763975,0.8970588235294118,0.5327510917030568,0.9226494945804409,0.5630728203926194,1832,100,7,61,4500,0.982165692363902,0.8927744504348611
LightGBM_Weighted_Physics,test_cost_optimized,0.09,0.9215,0.29107981220657275,0.9117647058823529,0.4412811387900356,0.9168036779929363,0.4897421435104763,1781,151,6,62,4510,0.9759545122396784,0.8737147511423231
XGBoost_Weighted,test_cost_optimized,0.31,0.896,0.23684210526315788,0.9264705882352942,0.3772455089820359,0.9106990622335891,0.43837558594816844,1729,203,5,63,4530,0.9680535257581293,0.7071501178281688
LightGBM,test_cost_optimized,0.02,0.894,0.23333333333333334,0.9264705882352942,0.3727810650887574,0.9096638655462186,0.43452096769364856,1725,207,5,63,4570,0.9688832054560955,0.7999380352693366
LinearSVM_Balanced,test_cost_optimized,0.03,0.8105,0.1358313817330211,0.8529411764705882,0.23434343434343435,0.8309736938253562,0.29275423825552793,1563,369,10,58,8690,0.9028285227134332,0.397024835496915
LogisticRegression,test_cost_optimized,0.02,0.7585,0.11214953271028037,0.8823529411764706,0.19900497512437812,0.8182468639629765,0.26058921791214795,1457,475,8,60,8750,0.9003014249177932,0.41638644097437316
KNN,test_cost_optimized,0.09,0.9215,0.2717948717948718,0.7794117647058824,0.40304182509505704,0.8529563999512848,0.4312738892993023,1790,142,15,53,8920,0.8670837900377543,0.4984681692903272
LogisticRegression_Balanced,test_cost_optimized,0.52,0.842,0.15363128491620112,0.8088235294117647,0.25821596244131456,0.8259956156375594,0.3082277120482004,1629,303,13,55,9530,0.9036962611131409,0.3925866116687223
Dummy_All_Normal,test_cost_optimized,0.01,0.966,0.0,0.0,0.0,0.5,0.0,1932,0,68,0,34000,0.5,0.034
